STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_resid,Country of residence,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-09,,271802,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-10,,144879,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-11,,87044,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-12,,103310,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-01,,89172,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-02,,79881,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-03,,101651,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-04,,133662,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-05,,151696,,,,,
dataflow,ESTAT:TIN00171(1.0),Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-06,,284534,,,,,
